State,Electoral,Party,Name
NSW,Newcastle,Australian Labor Party,Sharon Claydon
Victoria,Nicholls,National Party of Australia,Damian Drum
NSW,North Sydney,Liberal Party of Australia,Trent Zimmerman
Western Australia,O'Connor,Liberal Party of Australia,Rick Wilson
Queensland,Oxley,Australian Labor Party,Milton Dick
NSW,Page,National Party of Australia,Kevin Hogan
NSW,Parkes,National Party of Australia,Mark Coulton
NSW,Parramatta,Australian Labor Party,Julie Owens
NSW,Paterson,Australian Labor Party,Meryl Swanson
Western Australia,Pearce,Liberal Party of Australia,Christian Porter
Western Australia,Perth,Australian Labor Party,Patrick Gorman
Queensland,Petrie,Liberal National Party,Luke Howarth
Queensland,Rankin,Australian Labor Party,Jim Chalmers
NSW,Reid,Liberal Party of Australia,Fiona Martin
NSW,Richmond,Australian Labor Party,Justine Elliot
NSW,Riverina,National Party of Australia,Michael McCormack
NSW,Robertson,Liberal Party of Australia,Lucy Wicks
Queensland,Ryan,Liberal National Party,Julian Simmonds
Victoria,Scullin,Australian Labor Party,Andrew Giles
NSW,Shortland,Australian Labor Party,Pat Conroy
Northern Territory,Solomon,Australian Labor Party,Luke Gosling
South Australia,Spence,Australian Labor Party,Nick Champion
Western Australia,Stirling,Liberal Party of Australia,Vince Connelly
South Australia,Sturt,Liberal Party of Australia,James Stevens
Western Australia,Swan,Liberal Party of Australia,Steve Irons
NSW,Sydney,Australian Labor Party,Tanya Plibersek
Western Australia,Tangney,Liberal Party of Australia,Ben Morton
Victoria,Wannon,Liberal Party of Australia,Dan Tehan
NSW,Warringah,Independent,Zali Steggall
NSW,Watson,Australian Labor Party,Tony Burke
NSW,Wentworth,Liberal Party of Australia,Dave Sharma
NSW,Werriwa,Australian Labor Party,Anne Stanley
NSW,Whitlam,Australian Labor Party,Stephen Jones
Queensland,Wide Bay,Liberal National Party,Llew O'Brien
Victoria,Wills,Australian Labor Party,Peter Khalil
Queensland,Wright,Liberal National Party,Scott Buchholz
