Name,State,Electorate,Party,ScreenName,Gender,Comments
Trevor Evans,Queensland,Brisbane,LNP,TrevorEvansBne,,
Andrew Bartlett,Queensland,Brisbane,Greens,AndrewBartlett,,
Michelle Landry,Queensland,Capricornia,LNP,mlandryMP,,
Belinda Hassan,Queensland,Dawson,Labor,Belinda_ALP,,
George Christensen,Queensland,Dawson,LNP,GChristensenMP,,
Brendan Bunyan,Queensland,Dawson,KAP,brendanbunyan,,
Ali France,Queensland,Dickson,Labor,alifrance5,,
Peter Dutton,Queensland,Dickson,LNP,PeterDutton_MP,,
Benedict Coyne,Queensland,Dickson,Greens,bennarama,,
Stuart Robert,Queensland,Fadden,LNP,stuartrobertmp,,
Ted O'Brien,Queensland,Fairfax,LNP,Ted4Fairfax,,
Sue Etheridge,Queensland,Fairfax,Greens,EtheridgeSue,,
Andrew Wallace,Queensland,Fisher,LNP,AndrewWallaceMP,,
Zac Beers,Queensland,Flynn,Labor,zac_beers,,
Ken O'Dowd,Queensland,Flynn,LNP,KenODowdMP,,
Sharon Lohse,Queensland,Flynn,PHON,sharon_lohse,,
Des Hardman,Queensland,Forde,Labor,Des_Hardman,,
Bert van Manen,Queensland,Forde,LNP,BertVanManen,,
Terri Butler,Queensland,Griffith,Labor,terrimbutler,,
Max Chandler-Mather,Queensland,Griffith,Greens,MChandlerMather,,
John McVeigh,Queensland,Groom,LNP,JohnJMcVeigh,,
Cathy O'Toole,Queensland,Herbert,Labor,c_otoole,,
Phillip Thompson,Queensland,Herbert,LNP,P_Thompson88,,
Keith Pitt,Queensland,Hinkler,LNP,keithjpitt,,
Damian Huxham,Queensland,Hinkler,PHON,Damian_Huxham,,
Bob Katter,Queensland,Kennedy,KAP,RealBobKatter,,
Sue Bertuch,Queensland,Kennedy,UAP,SueBertuch,,
Elida Faith,Queensland,Leichhardt,Labor,ElidaFaith,,
Warren Entsch,Queensland,Leichhardt,LNP,WarrenEntschMP,,
Jen Sackley,Queensland,Leichhardt,UAP,JenSackleyUAP,,
Anika Wells,Queensland,Lilley,Labor,AnikaWells,,
Susan Lamb,Queensland,Longman,Labor,SusanLambMP,,
Linda Little,Queensland,Maranoa,Labor,LindaLittleALP,,
David Littleproud,Queensland,Maranoa,LNP,D_LittleproudMP,,
Aaron Santelises,Queensland,McPherson,Labor,Labor4McPherson,,
Karen Andrews,Queensland,McPherson,LNP,karenandrewsmp,,
Graham Perrett,Queensland,Moreton,Labor,GrahamPerrettMP,,
Angela Owen,Queensland,Moreton,LNP,CrAngelaOwen,,
Milton Dick,Queensland, Oxley,Labor,MiltonDickMP,,
Corinne Mulholland,Queensland,Petrie,Labor,Corinne4Petrie,,
Luke Howarth,Queensland,Petrie,LNP,LukeHowarthMP,,
Nikhil Aai Reddy,Queensland,Petrie,PHON,ReddyAai,,
Jim Chalmers,Queensland,Rankin,Labor,JEChalmers,,
Neil Cotter,Queensland,Rankin,Greens,NeilCotter,,
Jake Schoermer,Queensland,Ryan,Greens,JakeSchoermer,,
Jason Scanes,Queensland,Wide Bay,Labor,LaborWide,,
Llew O'Brien,Queensland,Wide Bay,LNP,LlewOBrienMP,,
Daniel Bryar,Queensland,Wide Bay,Greens,BryarDaniel,,
Scott Buchholz,Queensland,Wright,LNP,ScottBuchholzMP,,
Steve Georganas,South Australia,Adelaide,Labor,stevegeorganas,,
Shaun Osborn,South Australia,Adelaide,Lib,shaunosborn1,,
Barbara Pocock,South Australia,Adelaide,Greens,BarbaraPocock,,
Antonio Rea,South Australia,Adelaide,UAP,Antonio98771078,,
